Station,Year,Month,Days_Available,Rainfall_Total,Rainfall_Days,Max_Daily_Rain,Temperature_Mean,Max_Temperature,Min_Temperature,Humidity_Mean,Sunshine_Mean,Season,Latitude,Longitude
Ambaganctg,2008,1,31,56.0,2,55.0,19.951612903225804,21.8,16.8,76.03225806451613,7.393548387096775,Winter,22.2637,91.7159
Ambaganctg,2008,2,29,13.0,2,9.0,20.99310344827586,23.8,17.0,69.0,8.120689655172415,Winter,22.2637,91.7159
Ambaganctg,2008,3,31,14.0,2,13.0,26.32258064516129,28.4,23.0,79.19354838709677,6.887096774193546,Pre-Monsoon,22.2637,91.7159
Ambaganctg,2008,4,30,1.0,1,1.0,28.913333333333334,30.9,25.1,74.4,8.7,Pre-Monsoon,22.2637,91.7159
Ambaganctg,2008,5,31,272.0,12,85.0,29.20645161290323,31.2,25.9,78.48387096774194,7.179354838709677,Pre-Monsoon,22.2637,91.7159
Ambaganctg,2008,6,30,618.0,17,204.0,28.3,30.5,25.3,83.93333333333334,3.7933333333333334,Monsoon,22.2637,91.7159
Ambaganctg,2008,7,31,962.0,27,228.0,27.55806451612903,29.1,25.6,87.35483870967742,4.0677419354838715,Monsoon,22.2637,91.7159
Ambaganctg,2008,8,31,883.0,22,197.0,27.77096774193548,29.4,25.7,86.38709677419355,4.435483870967742,Monsoon,22.2637,91.7159
Ambaganctg,2008,9,30,266.0,19,40.0,28.189999999999998,29.5,25.1,84.96666666666667,5.51,Monsoon,22.2637,91.7159
Ambaganctg,2008,10,31,216.0,8,59.0,27.51612903225807,29.9,24.2,84.6774193548387,6.912903225806451,Post-Monsoon,22.2637,91.7159
Ambaganctg,2008,11,30,43.0,2,35.0,24.076666666666664,26.6,21.5,80.06666666666666,8.496666666666666,Post-Monsoon,22.2637,91.7159
Ambaganctg,2008,12,31,0.0,0,0.0,21.32580645161291,23.9,18.7,84.51612903225806,6.122580645161291,Winter,22.2637,91.7159
Ambaganctg,2009,1,31,0.0,0,0.0,20.50322580645161,23.2,18.3,73.25806451612904,7.62258064516129,Winter,22.2637,91.7159
Ambaganctg,2009,2,28,0.0,0,0.0,23.50714285714285,26.3,20.9,62.607142857142854,8.275,Winter,22.2637,91.7159
