Station,Year,Month,Days_Available,Rainfall_Total,Rainfall_Days,Max_Daily_Rain,Temperature_Mean,Max_Temperature,Min_Temperature,Humidity_Mean,Sunshine_Mean,Season,Latitude,Longitude,Ra_MJ_m2_day,Days_in_Month,PET_mm_day,PET_mm_month,Water_Balance
Ambaganctg,2008,1,31,56.0,2,55.0,19.951612903225804,21.8,16.8,76.03225806451613,7.393548387096775,Winter,22.2637,91.7159,25.580449429696344,31,2.0263603683651468,62.81717141931955,-6.81717141931955
Ambaganctg,2008,2,29,13.0,2,9.0,20.99310344827586,23.8,17.0,69.0,8.120689655172415,Winter,22.2637,91.7159,29.585699555367754,29,2.8085284181944776,81.44732412763985,-68.44732412763985
Ambaganctg,2008,3,31,14.0,2,13.0,26.32258064516129,28.4,23.0,79.19354838709677,6.887096774193546,Pre-Monsoon,22.2637,91.7159,34.38556122468323,31,3.308429629931574,102.5613185278788,-88.5613185278788
Ambaganctg,2008,4,30,1.0,1,1.0,28.91333333333333,30.9,25.1,74.4,8.7,Pre-Monsoon,22.2637,91.7159,37.95968039886833,30,4.007424985157288,120.22274955471863,-119.22274955471863
Ambaganctg,2008,5,31,272.0,12,85.0,29.20645161290323,31.2,25.9,78.48387096774194,7.179354838709677,Pre-Monsoon,22.2637,91.7159,39.627832876604735,31,4.024238627466075,124.75139745144833,147.24860254855167
Ambaganctg,2008,6,30,618.0,17,204.0,28.3,30.5,25.3,83.93333333333334,3.793333333333333,Monsoon,22.2637,91.7159,39.984727896443296,30,3.944434432060768,118.33303296182304,499.66696703817695
Ambaganctg,2008,7,31,962.0,27,228.0,27.55806451612903,29.1,25.6,87.35483870967742,4.067741935483872,Monsoon,22.2637,91.7159,39.59975725989314,31,3.1533273633839634,97.75314826490286,864.2468517350972
Ambaganctg,2008,8,31,883.0,22,197.0,27.77096774193548,29.4,25.7,86.38709677419355,4.435483870967742,Monsoon,22.2637,91.7159,38.18532359054605,31,3.141040873046025,97.37226706442678,785.6277329355732
Ambaganctg,2008,9,30,266.0,19,40.0,28.19,29.5,25.1,84.96666666666667,5.51,Monsoon,22.2637,91.7159,35.08019316159994,30,3.1757018568628808,95.27105570588643,170.72894429411357
Ambaganctg,2008,10,31,216.0,8,59.0,27.51612903225807,29.9,24.2,84.6774193548387,6.912903225806451,Post-Monsoon,22.2637,91.7159,30.540062462144146,31,3.1006172055440007,96.11913337186402,119.88086662813598
Ambaganctg,2008,11,30,43.0,2,35.0,24.076666666666664,26.6,21.5,80.06666666666666,8.496666666666666,Post-Monsoon,22.2637,91.7159,26.25898915152657,30,2.330360959625327,69.91082878875982,-26.910828788759815
Ambaganctg,2008,12,31,0.0,0,0.0,21.32580645161291,23.9,18.7,84.51612903225806,6.122580645161291,Winter,22.2637,91.7159,24.301140799275604,31,2.034602786056308,63.07268636774555,-63.07268636774555
Ambaganctg,2009,1,31,0.0,0,0.0,20.50322580645161,23.2,18.3,73.25806451612904,7.62258064516129,Winter,22.2637,91.7159,25.580449429696344,31,2.03530528502582,63.09446383580042,-63.09446383580042
Ambaganctg,2009,2,28,0.0,0,0.0,23.50714285714285,26.3,20.9,62.60714285714285,8.275,Winter,22.2637,91.7159,29.585699555367754,28,2.664967262142308,74.61908333998463,-74.61908333998463
Ambaganctg,2009,3,31,2.0,1,2.0,26.919354838709676,28.9,25.5,70.45161290322581,6.890322580645161,Pre-Monsoon,22.2637,91.7159,34.38556122468323,31,2.6607195711263105,82.48230670491563,-80.48230670491563
Ambaganctg,2009,4,30,125.0,4,78.0,29.21,30.8,26.3,79.03333333333333,8.243333333333334,Pre-Monsoon,22.2637,91.7159,37.95968039886833,30,3.5522788854186333,106.568366562559,18.431633437440993
Ambaganctg,2009,5,31,360.0,16,155.0,29.16451612903226,30.9,25.6,77.19354838709677,7.370967741935484,Pre-Monsoon,22.2637,91.7159,39.627832876604735,31,4.020648516145934,124.64010400052396,235.35989599947604
Ambaganctg,2009,6,30,408.0,16,105.0,29.076666666666664,31.4,26.3,81.6,6.363333333333333,Monsoon,22.2637,91.7159,39.984727896443296,30,3.9721345771792516,119.16403731537754,288.8359626846225
